matrícula	nome	idade	renda	cor	sexo	ano_curso	escola	cod_curso	logradouro	numero	bairro	cidade	uf	cep	motivação
RA55005805	Junichi Vital	20	1993.43	1	1	4	1	91	Rua Capitão José Leite	759	Vila Matilde	São Paulo	SP	03510-010	7
RA55009764	Vadim Esteves Carromeu	45	11954.5	1	1	3	1	29	Rua Baltazar Barbosa	836	Parque São Rafael	São Paulo	SP	08320-500	1
RA55004033	Vandreza Tedim Faia Branco	20	2066.42	1	2	4	2	42	Rua Duque de Palmela	626	Vila Praia	São Paulo	SP	05750-200	7
RA55006546	Lanucio Penteado Caldas Caçoilo	21	1245.88	1	1	5	1	52	Rua José de Almeida	979	Vila Medeiros	São Paulo	SP	02204-001	5
RA55007949	Jacksson Frois Fontes	21	2781.86	1	1	5	2	38	Rua Treze de Maio	267	Bela Vista	São Paulo	SP	01327-905	2
RA55000085	Florisvaldo Aguiar	19	62.0	1	1	3	1	111	Rua Rui Porto	189	Chácara São João	São Paulo	SP	05109-180	10
RA55009181	Osmano Martins	23	5840.73	2	1	1	1	78	Rua Ernani Pinto	803	Vila Maria Alta	São Paulo	SP	02128-020	0
RA55001463	Cleidmar Vilhena Areosa	19	748.99	1	2	3	1	82	Rua Dom Rosalvo	343	Sumarezinho	São Paulo	SP	05442-903	9
RA55002284	Azer Serro	19	820.99	1	1	3	1	88	Rua Antônio Maio	892	Jardim Previdência	São Paulo	SP	04163-020	9
RA55002888	Soraia Paulos Fialho	19	2224.98	1	2	3	2	109	Rua Marechal Malet	170	Parque da Vila Prudente	São Paulo	SP	03140-020	9
RA55005835	Cinde Laranjeira Ventura Candal	20	1796.43	1	2	4	1	81	Rua Major Boaventura	415	Parque Artur Alvim	São Paulo	SP	03569-030	7
RA55000685	Salim Cipriano	19	1147.99	1	1	3	1	49	Rua São João	461	Cidade de Deus	São Paulo	SP	08081-655	10
RA55004470	Katriele Godinho Trindade Veloso	20	2115.42	1	2	4	2	24	Rua João Gomes	306	Jardim Herculano	São Paulo	SP	04920-040	8
RA55000419	Iandra Guimarães Taveiros Rosário	19	1093.99	2	2	3	1	108	Rua Capitão Rangel	574	Vila São Geraldo	São Paulo	SP	03607-100	9
RA55005229	Kellin Ventura Lago Aguiar	20	1960.43	1	2	4	2	84	Rua Major Dantas Cortez	117	Vila Gustavo	São Paulo	SP	02206-001	7
RA55004254	Ivanilda Casado Abasto Caeira	20	1314.43	1	2	4	2	76	Praça Elfos	452	Jardim Marajoara	São Paulo	SP	04664-090	7
RA55002710	Natana Barroqueiro Estrela	19	1407.98	1	2	3	1	68	Rua Almeida Leite	424	Siciliano	São Paulo	SP	05052-080	10
RA55002358	Pabliana Alvarenga Lage Salomão	19	1082.99	1	2	3	1	50	Avenida Onze de Junho	167	Vila Clementino	São Paulo	SP	04041-000	9
RA55008060	Rosiana Regalado Vidal Cachoeira	23	2629.76	1	2	2	2	107	Praça Kant	199	Jardim Vila Mariana	São Paulo	SP	04116-230	3
RA55001367	Miyoko Sacramento Valentim Mondragão	19	1110.99	1	2	3	1	68	Rua Aracy de Almeida	997	Jardim Indaiá	São Paulo	SP	08143-010	10
RA55006278	Paulete Rosmaninho Cavaco	20	1992.43	1	2	4	2	106	Avenida Nove de Julho	873	Jardim Paulista	São Paulo	SP	01407-907	4
RA55003917	Riana Cobra Medina	20	1561.43	2	2	4	2	89	Rua M	477	Jardim Brasília (Zona Norte)	São Paulo	SP	02857-060	6
RA55000294	Narcelia Figueira Torquato Leme	19	124.0	1	2	3	1	2	Rua Caetano Desco	948	Vila Baruel	São Paulo	SP	02523-080	10
RA55002640	Dionath Quintela	19	1144.99	2	1	3	1	5	Rua Manuel Pinto	97	Jardim Eliza	São Paulo	SP	05776-460	9
RA55009459	Eredilson Gentil Quintas	31	5225.76	1	1	2	1	66	Rua Flor de Abril	918	Jardim Peri	São Paulo	SP	02651-140	0
RA55001507	Inelza Borges Café	19	614.99	2	2	3	1	101	Rua São Jorge	214	Recanto Verde do Sol	São Paulo	SP	08382-117	10
RA55009038	Reini Roçadas Pimentel Lobo	22	5738.28	1	2	2	2	12	Rua Sete de Junho	453	União de Vila Nova	São Paulo	SP	08072-075	0
RA55007394	Jardenilson Couto Botica	21	2839.86	1	1	5	1	65	Rua Marechal Deodoro	565	Santo Amaro	São Paulo	SP	04738-900	2
RA55001635	Rosinei Lagoa Valim	19	977.99	2	2	3	1	98	Rua Dom Valverde	947	Vila Monumento	São Paulo	SP	04261-090	10
RA55002458	Anaclan Lins	19	678.99	2	2	3	1	4	Avenida Onze de Junho	167	Vila Clementino	São Paulo	SP	04041-000	10
RA55009892	Natalia Vilar	46	21440.84	1	2	5	2	85	Rua Caetano Mero	60	Vila Constança	São Paulo	SP	04658-080	0
RA55005559	Alexandri Roçadas Veleda Tabanez	20	1440.43	1	1	4	2	50	Rua Capitão João Noronha	747	Parque Mandaqui	São Paulo	SP	02418-050	6
RA55009752	Vitorugo Holanda Sacramento Argolo	33	10789.14	1	1	4	2	93	Rua Vinte e Quatro de Dezembro	307	Vila Dom Pedro II	São Paulo	SP	02241-050	0
RA55002301	Robenilto Aveiro Silveira Espinosa	19	823.99	1	1	3	1	65	Praça Opala	269	Vila Euthalia	São Paulo	SP	03518-065	10
RA55004538	Franciela Queiroga Telinhos	20	1459.43	1	2	4	1	61	Rua Major Claudiano	49	Vila Gea	São Paulo	SP	04692-030	8
RA55002939	Neuton Galvão Cabral Pais	19	2238.98	1	1	3	1	40	Avenida Ceci	848	Planalto Paulista	São Paulo	SP	04065-000	10
RA55001564	Melina Prates Soeiro Malta	19	755.99	1	2	3	1	3	Rua Primeiro de Janeiro	706	Vila Clementino	São Paulo	SP	04044-060	10
RA55005690	Wantoni Belchiorinho Caiado	20	1481.43	1	1	4	1	83	Rua Marechal Malet	251	Parque da Vila Prudente	São Paulo	SP	03140-020	7
RA55008659	Masuel Custódio Veríssimo Ulhoa	25	4957.63	1	1	2	2	31	Rua Benedita Barbosa	729	Vila Barbosa	São Paulo	SP	02556-100	2
RA55007518	Rosemaire Roçadas Estrela Novais	21	3663.85	1	2	5	2	67	Rua Doze de Outubro	921	União de Vila Nova	São Paulo	SP	08071-072	3
RA55001980	Evanieli Vergueiro	19	635.99	1	2	3	1	97	Rua Almeida Góis	195	Vila Gumercindo	São Paulo	SP	04131-040	9
RA55001884	Renil Novais	19	1096.99	2	1	3	1	30	Rua São Pedro	138	Jardim Raposo Tavares	São Paulo	SP	05551-080	9
RA55003804	Orfeu Areosa Fagundes Porciúncula	20	1321.43	1	1	4	1	103	Rua Vale Maior	533	Jardim Miriam	São Paulo	SP	04417-040	6
RA55000439	Darliene Vilaça Cidreira	19	806.99	1	2	3	1	107	Rua Sargento Olício Alves	48	Vila Campo Grande	São Paulo	SP	04455-180	10
RA55004636	Lucielly Bentes	20	1970.43	1	2	4	1	3	Rua São João	461	Cidade de Deus	São Paulo	SP	08081-655	6
RA55004529	Juana Bonilha Quintão Rebotim	20	1566.43	1	2	4	2	112	Praça Capri	573	Jardim Leonor Mendes de Barros	São Paulo	SP	02347-040	6
RA55004333	Caroline Araújo	20	2318.42	1	2	4	1	75	Rua Soldado Américo Rodrigues	745	Parque Novo Mundo	São Paulo	SP	02186-020	7
RA55003574	Remi Sabrosa	20	1569.43	1	1	4	2	4	Rua Barão de Suruí	910	Vila Congonhas	São Paulo	SP	04612-120	8
RA55008742	Meireluce Santarém Bouça	24	5708.17	1	2	3	2	103	Avenida Moema	951	Planalto Paulista	São Paulo	SP	04077-912	2
RA55008912	Telma Salvado Fragoso Bivar	22	4250.3	2	2	4	2	100	Rua Caetano Pinto	235	Brás	São Paulo	SP	03041-000	2
RA55004818	Ciane Silva Couceiro	20	2323.42	1	2	4	1	27	Rua Armando Barbosa	42	Jardim Santa Adélia	São Paulo	SP	03974-010	7
RA55006436	Alcileia Caparica Bogado	20	2293.42	1	2	4	2	53	Rua Pedro Meira	678	Vila Curuçá	São Paulo	SP	08030-500	4
RA55002987	Cleocilene Franca Borba Vigário	19	2246.98	2	2	3	2	87	Rua Nossa Senhora Aparecida	463	Jardim Elizabeth	São Paulo	SP	08320-800	9
RA55007839	Eiko Reino Quinaz	21	2675.87	1	1	5	1	75	Avenida Iraí	894	Indianópolis	São Paulo	SP	04082-907	3
RA55000705	Laudevir Godoi Soeiro	19	721.99	1	1	3	1	97	Avenida Vinte e Quatro de Fevereiro	868	Vila Rui Barbosa	São Paulo	SP	03734-090	10
RA55002281	Cerli Carvalhoso Regalado Linhares	19	937.99	1	2	3	1	58	Rua João Canzi	697	Jardim Patente	São Paulo	SP	04243-090	9
RA55008735	Eudijane Figueiroa Aleixo	23	5036.73	1	2	5	1	73	Viela Treze de Abril	495	Jardim Nazareth	São Paulo	SP	08150-750	3
RA55004148	Rocky Nobre	20	1496.43	1	1	4	1	89	Praça M'Boi	654	Butantã	São Paulo	SP	05511-030	6
RA55005413	Cascio Dinis Novais	20	1831.43	1	1	4	2	78	Rua Treze de Maio	267	Bela Vista	São Paulo	SP	01327-905	7
RA55000374	Gerino Calado Lagos	19	33.0	1	1	3	1	25	Rua Treze de Maio	563	Bela Vista	São Paulo	SP	01327-900	9
RA55006406	Amirio Ferro Paixão	20	2112.42	1	1	4	2	8	Praça Félix	787	Vila Sílvia	São Paulo	SP	03820-210	5
RA55009224	Gilmar Sampaio Veloso Magalhães	24	4723.18	2	2	4	1	81	Praça M'Boi	904	Butantã	São Paulo	SP	05511-030	0
RA55002586	Nilcileide Camilo	19	1113.99	1	2	3	1	2	Praça São Marcos	834	Vila Ida	São Paulo	SP	05455-050	10
RA55001333	Neurison Rosmaninho Mota Maior	19	684.99	1	1	3	1	14	Rua Três de Maio	943	Vila Clementino	São Paulo	SP	04044-020	10
RA55009573	Neucimara Narvais Perdigão Matos	34	6492.64	1	2	2	1	103	Avenida Marechal Juarez Távora	301	Super Quadra Morumbi	São Paulo	SP	05750-000	1
RA55005283	Leovando Monte Bettencourt	20	2129.42	1	1	4	2	57	Praça Félix	787	Vila Sílvia	São Paulo	SP	03820-210	6
RA55009132	Gildiane Mourato Peralta	24	5219.18	1	2	2	1	80	Rua Ascensão	47	Jardim Textil	São Paulo	SP	03415-070	0
RA55008316	Itajacira Pequeno	22	3235.31	1	2	3	1	65	Avenida Dois	60	Colônia (Zona Leste)	São Paulo	SP	08260-430	2
RA55009810	Robenildo Lage Lucas	45	6962.55	1	1	2	2	105	Praça Rui Corá	586	Vila Matilde	São Paulo	SP	03517-035	1
RA55001785	Dedison Azambuja	19	654.99	1	1	3	1	48	Rua Almeida Leite	424	Siciliano	São Paulo	SP	05052-080	10
RA55003183	Emiriane Marreiro Quental	19	2155.98	1	2	3	2	32	Praça São Marcos	834	Vila Ida	São Paulo	SP	05455-050	8
RA55000495	Satoru Lessa Cachoeira	19	610.99	1	1	3	1	110	Rua Benedita Barbosa	729	Vila Barbosa	São Paulo	SP	02556-100	9
RA55007364	Ricardi Espírito Santo Vilalobos Martins	21	2573.87	1	1	5	1	66	Rua Vinte e Sete de Setembro	464	Cidade Nova Heliópolis	São Paulo	SP	04235-040	3
RA55002861	Iter Fiães Cadaval	19	1923.98	2	1	3	1	99	Rua Pedro Voss	58	Vila Carrão	São Paulo	SP	03437-000	10
RA55007930	Millane Morgado Carqueijeiro Vilarinho	21	2972.86	1	2	5	1	63	Rua Rosa de Nossa Senhora	73	Vila Reis	São Paulo	SP	08040-400	2
RA55004042	Germina Natal	20	1302.43	1	2	4	1	17	Rua Dom Valverde	947	Vila Monumento	São Paulo	SP	04261-090	6
RA55007179	Hellmuth Júdice	21	3221.86	2	1	5	1	6	Rua São Marcos	547	Chácara Gaivotas	São Paulo	SP	04849-314	3
RA55002898	Gerucia Barreno Álvaro Matosinhos	19	1864.98	1	2	3	2	105	Rua Sargento Luiz Baptista	725	Jardim São Vicente	São Paulo	SP	08021-530	9
RA55000367	Adnelia Resende Xisto Porciúncula	19	411.0	1	2	3	1	103	Avenida Nove de Julho	506	Jardim Paulista	São Paulo	SP	01406-901	9
RA55000850	Damili Guerreiro Bastos	19	947.99	1	2	3	1	29	Rua Curruíra	550	Vila Aurora	São Paulo	SP	05186-200	10
RA55007441	Iaurea Cesário	21	3310.86	1	2	5	2	75	Avenida Sargento Geraldo Sant'Ana	512	Jardim Taquaral	São Paulo	SP	04674-903	2
RA55009455	Oria Barroqueiro Redondo Quental	40	5338.33	1	2	2	1	88	Avenida Onze de Junho	414	Vila Clementino	São Paulo	SP	04041-000	1
RA55004302	Deuselice Serro	20	1700.43	1	2	4	2	36	Rua Ursa Maior	650	Cidade Satélite Santa Bárbara	São Paulo	SP	08330-390	7
RA55002654	Kelin Bragança	19	2423.97	1	1	3	1	11	Avenida Moaci	614	Planalto Paulista	São Paulo	SP	04083-900	9
RA55003504	Erivanea Barbosa Sales Muxagata	19	1979.98	1	2	3	2	4	Avenida Marechal Tito	891	Jardim Silva Teles	São Paulo	SP	08160-495	7
RA55001542	Uriele Carregueiro	19	1070.99	1	2	3	1	32	Praça Elfos	92	Jardim Marajoara	São Paulo	SP	04664-090	10
RA55004166	Antistenes Carrasco	20	1337.43	2	1	4	2	23	Rua Pedro Doll	676	Santana	São Paulo	SP	02404-001	8
RA55008867	Lucineuda Zagalo	23	4259.74	1	2	2	2	96	Avenida Nove de Julho	648	Jardim Paulista	São Paulo	SP	01407-905	2
RA55000323	Cleison Camargo Monteiro	19	498.99	1	1	3	1	102	Rua Ursa Maior	650	Cidade Satélite Santa Bárbara	São Paulo	SP	08330-390	10
RA55002032	Jaerte Sanches	19	872.99	1	1	3	1	47	Avenida Vinte e Quatro de Fevereiro	868	Vila Rui Barbosa	São Paulo	SP	03734-090	9
RA55000814	Inderson Noleto	19	1043.99	1	1	3	1	87	Avenida Ceci	688	Planalto Paulista	São Paulo	SP	04065-004	10
RA55008940	Delmaci Teodoro Brasil Abranches	22	4675.29	1	2	3	1	71	Rua João Anes	464	Alto da Lapa	São Paulo	SP	05060-020	3
RA55009376	Keterine Severiano	43	5022.68	1	2	2	1	60	Praça da Sé	871	Sé	São Paulo	SP	01001-901	0
RA55001080	Istanislau Caniça Valente Remígio	19	905.99	1	1	3	1	112	Rua Marechal Barbacena	416	Vila Regente Feijó	São Paulo	SP	03333-000	10
RA55002227	Poliana Canedo Cidreira Chainho	19	1168.99	1	2	3	1	107	Rua Major Dantas Cortez	683	Vila Gustavo	São Paulo	SP	02206-001	9
RA55009137	Elones Carreiro	25	4319.64	1	1	3	2	66	Praça Monsenhor Macedo	598	Jardim Franca	São Paulo	SP	02338-040	0
RA55009532	Regivando Medeiros Rebotim	40	11095.27	2	1	2	2	69	Rua Marechal Xavier da Câmara	200	Jardim das Laranjeiras	São Paulo	SP	02517-190	1
RA55002706	Lesiane Vital Rebocho Fagundes	19	1507.98	1	2	3	2	36	Rua Três de Maio	943	Vila Clementino	São Paulo	SP	04044-020	10
RA55006825	Fujiko Amaro Santos Barrela	21	2153.87	2	2	5	2	88	Rua Rui Porto	189	Chácara São João	São Paulo	SP	05109-180	4
RA55007557	Elane Castanheda Carrilho Valente	21	3653.85	1	1	5	2	14	Avenida Rudge	293	Bom Retiro	São Paulo	SP	01134-000	3
RA55001165	Leidson Neves Atilano	19	1135.99	1	1	3	1	73	Rua Dom Pedro	498	Jardim Apurá	São Paulo	SP	04470-037	9
RA55003262	Neuzane Valgueiro Fogaça	19	1822.98	1	2	3	2	88	Rua Treze de Maio	917	Cantinho do Céu	São Paulo	SP	04849-650	8
RA55004688	Edemario Fragoso Belém Luz	20	2320.42	1	1	4	2	52	Rua 23 de Novembro	929	Vila Progresso (Zona Leste)	São Paulo	SP	08240-001	7
RA55001451	Reia Carromeu	19	932.99	1	2	3	1	1	Rua N	126	Furnas	São Paulo	SP	02323-280	9
RA55003863	Vitiane Ilha Damasceno	20	1666.43	1	2	4	2	67	Rua Marechal Silva Fonseca	104	Jardim Três Marias	São Paulo	SP	03676-030	8
RA55006104	Risonaide Pires	20	1791.43	2	2	4	2	57	Praça Capri	849	Jardim Leonor Mendes de Barros	São Paulo	SP	02347-040	4
RA55009216	Sandrelina Monjardim Basílio	25	5380.63	1	2	4	2	97	Avenida Moaci	541	Planalto Paulista	São Paulo	SP	04083-005	1
RA55007121	Leci Lancastre Semedo Ferraz	21	3031.86	1	2	5	2	4	Rua Pires de Almeida	58	Vila Pita	São Paulo	SP	02478-130	3
RA55006399	Altamiro Freire Lemos	20	2228.42	1	1	4	2	83	Rua São Jorge	214	Recanto Verde do Sol	São Paulo	SP	08382-117	5
RA55009589	Leni Pimenta Varela Aleixo	29	9311.37	1	2	2	1	3	Rua Marcos Juarez	182	Vila Buenos Aires	São Paulo	SP	03736-090	0
RA55006215	Gledison Marques Luz	20	1824.43	1	1	4	2	31	Rua Sargento Manuel Chagas	18	Parque Novo Mundo	São Paulo	SP	02179-040	5
RA55009646	Jemes Carvalhosa Resende Carvalhal	49	7895.33	1	1	1	2	33	Rua Primeiro de Janeiro	706	Vila Clementino	São Paulo	SP	04044-060	0
RA55005337	Tamisia Palma	20	2156.42	1	2	4	2	66	Rua Dez de Julho	594	Cidade Ademar	São Paulo	SP	04404-000	6
RA55004057	Antonilo Prudente Trigueiro 	20	2178.42	1	1	4	2	48	Praça Marechal Deodoro	187	Santa Cecília	São Paulo	SP	01150-010	8
RA55009512	Marilson Marmou	45	9685.52	1	1	3	2	67	Praça Oito de Setembro	186	Penha de França	São Paulo	SP	03606-030	0
RA55003000	Desilene Quintana Chousa	19	2061.98	1	2	3	2	27	Rua Pedro Doll	676	Santana	São Paulo	SP	02404-001	9
RA55009025	Adim Tabanez Martinho	24	6010.17	1	1	2	2	112	Rua Dona Domitila	252	Vila Ponte Rasa	São Paulo	SP	03882-180	0
RA55001232	Louis Barrela Jesus Temes	19	1031.99	2	1	3	1	72	Avenida Sargento Geraldo Sant'Ana	512	Jardim Taquaral	São Paulo	SP	04674-903	10
RA55001515	Manara Caldas Rego	19	761.99	1	2	3	1	35	Rua Elias de Almeida	953	Parque Casa de Pedra	São Paulo	SP	02319-120	10
RA55002314	Jenifer Peixoto	19	645.99	1	2	3	1	30	Rua São Luís	207	Vila Cosmopolita	São Paulo	SP	08421-030	10
RA55001452	Tarcia Mont'Alverne Soeiro Damasceno	19	827.99	1	2	3	1	10	Rua José de Almeida	979	Vila Medeiros	São Paulo	SP	02204-001	10
RA55005268	Itiel Taborda Inácio	20	1589.43	1	1	4	2	92	Rua Pedro Feres	608	Água Branca	São Paulo	SP	05042-030	6
RA55006132	Jacquelene Matosinhos Barbalho	20	2023.43	1	2	4	2	103	Rua Silva Pinto	123	Bom Retiro	São Paulo	SP	01126-010	5
RA55008532	Eronice Toledo Olaio Capistrano	22	3865.3	1	2	5	2	30	Rua Dias Barbosa	969	Jardim São Paulo(Zona Leste)	São Paulo	SP	08461-540	3
RA55006465	Graciliana Valido	21	1600.88	1	2	5	2	36	Vila São João	348	Cidade São Mateus	São Paulo	SP	03961-130	4
RA55000839	Helio Boto	19	759.99	1	1	3	1	38	Avenida Dezenove de Janeiro	320	Vila Carrão	São Paulo	SP	03449-000	10
RA55009916	Edenis Penteado Fiúza Tigre	30	14620.76	1	2	3	2	82	Rua Marcos Freire	439	Jardim Nova Conquista	São Paulo	SP	08346-580	0
RA55008262	Graciela Póvoas	22	2533.31	1	2	1	2	110	Rua Major Dantas Cortez	683	Vila Gustavo	São Paulo	SP	02206-001	3
RA55006415	Wellber Severo Grande	20	2419.42	1	1	4	2	66	Rua Almeida Góis	195	Vila Gumercindo	São Paulo	SP	04131-040	4
RA55008505	Irenil Regueira	22	2699.31	1	1	3	2	32	Rua Major Dantas Cortez	117	Vila Gustavo	São Paulo	SP	02206-001	3
RA55003568	Jaimiro Bacelar Maranhão	20	1881.43	2	1	4	1	88	Rua Vinte e Oito de Setembro	136	Vila Dom Pedro I	São Paulo	SP	04267-000	6
RA55009265	Albertina Craveiro	24	5390.18	2	2	2	2	51	Rua São João	767	Residencial Sol Nascente	São Paulo	SP	05283-030	1
RA55003088	Claiver Olaio Inês Gadelha	19	1497.98	1	1	3	2	97	Rua Ascensão	47	Jardim Textil	São Paulo	SP	03415-070	8
RA55008644	Amaurino Bezerril Quintana	25	5223.63	2	1	3	2	31	Rua Treze de Maio	471	Jardim Campo Limpo (Zona Norte)	São Paulo	SP	02362-075	2
RA55001715	Auceli Ourique Vigário Félix	19	647.99	1	2	3	1	89	Rua São Marun	19	Chácara Itaim	São Paulo	SP	04543-017	10
RA55000340	Neci Angelim	19	370.0	1	2	3	1	94	Rua Rio Maruí	679	Itaquera	São Paulo	SP	08215-640	9
RA55009564	Marissonia Sacadura Caniça	33	7888.18	2	2	2	2	32	Rua Joaquim Caetano	994	Cidade Nova América	São Paulo	SP	04897-525	0
RA55005943	Wandeilson Nolasco Arouca Álvaro	20	2405.42	1	1	4	2	59	Rua D	704	Jardim Fontalis	São Paulo	SP	02360-171	8
RA55009870	Criscilane Saraiva Carvalhal	47	24193.26	2	2	1	2	104	Rua Quinze de Novembro	993	Centro	São Paulo	SP	01013-907	0
RA55008103	Walkira Robalo	22	2656.31	1	2	2	2	53	Praça da Sé	53	Sé	São Paulo	SP	01001-901	3
RA55008489	Elzevir Mondragão	22	3306.31	1	1	2	2	60	Rua Monsenhor Anacleto	13	Brás	São Paulo	SP	03003-020	3
RA55000589	Rosinet Gil Teodoro Coronel	19	1153.99	1	2	3	1	21	Avenida Nove de Julho	648	Jardim Paulista	São Paulo	SP	01407-905	9
RA55003366	Decilia Laranjeira Cordeiro	19	2193.98	1	2	3	1	97	Rua Dois de Julho	506	Ipiranga	São Paulo	SP	04215-000	8
RA55002671	Hipolito Peseiro	19	1588.98	1	1	3	2	76	Rua Capitão João Carlos	28	Nossa Senhora do Ó	São Paulo	SP	02926-060	10
RA55003590	Ismaildo Caldas	20	1355.43	2	1	4	1	8	Rua João Pais	348	Jardim Petrópolis	São Paulo	SP	04603-904	7
RA55000035	Shauany Jorge	19	167.0	2	2	3	1	72	Rua Primeiro de Maio	149	Jardim São Francisco	São Paulo	SP	08390-263	10
RA55000029	Darlet Toste	19	380.0	1	2	3	1	107	Rua N	126	Furnas	São Paulo	SP	02323-280	9
RA55008554	Clauneide Faia Caiado	22	5541.28	2	2	4	2	56	Rua São Paulo	699	Conjunto Habitacional Turística	São Paulo	SP	05164-133	2
RA55008118	Ermilia Andrade Gorjão	22	3316.31	2	2	5	1	36	Praça Caipé	376	Vila Califórnia	São Paulo	SP	03213-010	2
RA55002171	Jasmir Paulos Brochado	19	1075.99	1	2	3	1	23	Rua Soldado Américo Rodrigues	745	Parque Novo Mundo	São Paulo	SP	02186-020	10
RA55008378	Gerlanio Toste Mariz Lamego	25	2808.65	1	1	1	2	28	Rua Marcos Liberi	843	Conjunto Residencial José Bonifácio	São Paulo	SP	08253-270	3
RA55005621	Tarcis Pequeno Quintal Alvelos	20	1949.43	1	1	4	2	76	Avenida Moaci	541	Planalto Paulista	São Paulo	SP	04083-005	8
RA55000890	Catiano Bencatel	19	763.99	1	1	3	1	73	Rua Soneto de Agosto	641	Jardim Santa Lucrécia	São Paulo	SP	05185-430	9
RA55006490	Sandicleia Vila-Chã	21	1925.87	1	2	5	2	31	Rua Quinze de Novembro	803	Cantinho do Céu	São Paulo	SP	04849-527	5
RA55003323	Ezildo Rabelo Casado	19	2100.98	1	1	3	2	109	Rua Soldado Sebastião Felício	171	Parque Novo Mundo	São Paulo	SP	02144-070	7
RA55009397	Marisol Araújo	26	4885.52	2	2	2	1	65	Rua Treze de Maio	267	Bela Vista	São Paulo	SP	01327-905	1
RA55003515	Aurila Lários Figueiredo Ribas	19	2136.98	2	2	3	2	38	Avenida Duque de Caxias	893	Santa Efigênia	São Paulo	SP	01214-000	7
RA55004421	Yollanda Maia	20	2165.42	1	2	4	2	8	Rua Elias de Almeida	953	Parque Casa de Pedra	São Paulo	SP	02319-120	6
RA55008352	Weliton Rufino Lourenço	25	3588.64	1	1	1	2	42	Rua São Luís	207	Vila Cosmopolita	São Paulo	SP	08421-030	3
RA55005362	Ater Cabreira	20	2360.42	1	1	4	1	88	Rua Marechal Deodoro	565	Santo Amaro	São Paulo	SP	04738-900	8
RA55003734	Janeide Tigre Noite	20	2441.42	1	2	4	1	53	Rua Monsenhor Anacleto	339	Brás	São Paulo	SP	03003-020	8
RA55009464	Iranilton Barroqueiro Gravato	47	4397.47	1	1	2	2	5	Rua Acuruí	534	Vila Formosa	São Paulo	SP	03355-000	1
RA55007082	Licole Vilante Flores Gama	21	2658.87	1	2	5	2	46	Rua Soldado Américo Rodrigues	745	Parque Novo Mundo	São Paulo	SP	02186-020	2
RA55001655	Genair Boga Braga	19	1035.99	1	2	3	1	91	Avenida Marechal Juarez Távora	301	Super Quadra Morumbi	São Paulo	SP	05750-000	10
RA55005033	Roseki Craveiro Ventura Regueira	20	2413.42	1	2	4	1	5	Rua 5 de Outubro	522	Chácara Gaivotas	São Paulo	SP	04849-309	8
RA55000224	Avilasio Pais Júdice	19	134.0	2	1	3	1	81	Rua Duquesa de Tancos	949	Jardim Ângela (Zona Sul)	São Paulo	SP	04920-140	9
RA55008626	Josinal Murteira	24	6033.17	1	1	3	2	83	Praça Elfos	452	Jardim Marajoara	São Paulo	SP	04664-090	2
RA55006195	Lindoneide Vilariça Valido	20	1674.43	1	2	4	2	60	Avenida Dois	60	Colônia (Zona Leste)	São Paulo	SP	08260-430	4
RA55001591	Arliete Domingos	19	623.99	1	2	3	1	63	Avenida Bosque da Saúde	962	Saúde	São Paulo	SP	04142-090	10
RA55005983	Darinho Calçada Castanheda	20	1233.43	1	1	4	2	8	Rua Major Baracca	906	Parque Edu Chaves	São Paulo	SP	02232-000	8
RA55003257	Edmilson Rosmaninho Queiroga	19	2327.97	1	1	3	2	94	Rua Capitão José Leite	77	Vila Matilde	São Paulo	SP	03510-010	6
RA55006681	Werleson Brites	21	1552.88	1	1	5	2	39	Rua Dois de Julho	506	Ipiranga	São Paulo	SP	04215-000	5
RA55004771	Rude Caçoilo Camargo	20	1406.43	1	1	4	2	49	Rua São Bento	984	Centro	São Paulo	SP	01010-001	7
RA55002182	Sileia Carvalheira Palha	19	745.99	1	2	3	1	6	Rua O	635	Jardim Brasília (Zona Norte)	São Paulo	SP	02857-090	10
RA55006804	Osailton Bastos Quintal Quinzeiro	21	1307.88	1	1	5	1	41	Rua Capitão José Leite	77	Vila Matilde	São Paulo	SP	03510-010	5
RA55004914	Michel Lemes Argolo	20	1935.43	1	1	4	2	102	Rua Frei João	771	Vila Nair	São Paulo	SP	04280-130	8
RA55006787	Lucivera Caniça	21	1844.87	1	2	5	1	38	Avenida Rudge	293	Bom Retiro	São Paulo	SP	01134-000	5
RA55004790	Ester Júdice Canejo	20	1962.43	1	2	4	2	44	Avenida Nove de Julho	873	Jardim Paulista	São Paulo	SP	01407-907	7
RA55001210	Alcimario Pessoa	19	693.99	1	1	3	1	33	Rua A	762	Jardim Santa Cruz (Sacomã)	São Paulo	SP	04182-125	10
RA55000422	Cresia Caldeira Faro Jesus	19	1131.99	1	2	3	1	48	Praça Três de Setembro	892	Vila Alpina	São Paulo	SP	03207-060	9
RA55008741	Clelsa Lustosa Ulhoa Espargosa	23	4248.74	1	2	3	1	20	Rua Capitão Prudente	202	Pinheiros	São Paulo	SP	05422-050	2
RA55001707	Geisiel Moreira	19	1051.99	1	2	3	1	72	Rua Dom João VI	942	Jardim Luzitânia	São Paulo	SP	04032-100	10
RA55001159	Suzenildo Taveiros	19	1055.99	1	1	3	1	10	Rua Marconi	293	Centro	São Paulo	SP	01047-906	9
RA55002307	Lili Duarte	19	704.99	1	1	3	1	13	Rua 9 de Setembro	652	Chácara Gaivotas	São Paulo	SP	04849-333	9
